Airport,AP_NAME,FAA REGION,CITY,STATE,AP Type
F08,EUFAULA MUNI,ASW,EUFAULA,OK,Public Use
7M6,PARIS MUNI,ASW,PARIS /SUBIACO/,AR,Public Use
M74,BALD KNOB MUNI,ASW,BALD KNOB,AR,Public Use
CMR,H.A. CLARK MEMORIAL FIELD,AWP,WILLIAMS,AZ,Public Use
1L4,KIDWELL,AWP,CAL NEV ARI,NV,Public Use
0A7,HENDERSONVILLE,ASO,HENDERSONVILLE,NC,Public Use
24A,JACKSON COUNTY,ASO,SYLVA,NC,Public Use
L45,BAKERSFIELD MUNI,AWP,BAKERSFIELD,CA,Public Use
ISO,KINSTON RGNL JETPORT AT STALLINGS FLD,ASO,KINSTON,NC,Federalized/Commercial
P23,SELIGMAN,AWP,SELIGMAN,AZ,Public Use
FSM,FORT SMITH RGNL,ASW,FORT SMITH,AR,Federalized/Commercial
CSM,CLINTON-SHERMAN,ASW,CLINTON,OK,Public Use
L62,ELK HILLS-BUTTONWILLOW,AWP,BUTTONWILLOW,CA,Public Use
NQA,MILLINGTON RGNL JETPORT,ASO,MILLINGTON,TN,Public Use
SNL,SHAWNEE RGNL,ASW,SHAWNEE,OK,Public Use
T45,PANHANDLE-CARSON COUNTY,ASW,PANHANDLE,TX,Public Use
E89,CONCHAS LAKE,ASW,CONCHAS DAM,NM,Public Use
THA,TULLAHOMA RGNL ARPT/WM NORTHERN FIELD,ASO,TULLAHOMA,TN,Public Use
HRJ,HARNETT RGNL JETPORT,ASO,ERWIN,NC,Public Use
E61,CONCHAS LAKE,ASW,CONCHAS DAM,NM,Public Use
43A,MONTGOMERY COUNTY,ASO,STAR,NC,Public Use
M29,HASSELL FIELD,ASO,CLIFTON,TN,Public Use
JQF,CONCORD RGNL,ASO,CONCORD,NC,Public Use
0F7,FOUNTAINHEAD LODGE AIRPARK,ASW,EUFAULA,OK,Public Use
OKC,WILL ROGERS WORLD,ASW,OKLAHOMA CITY,OK,Federalized/Commercial
MMI,MCMINN COUNTY,ASO,ATHENS,TN,Public Use
F81,OKEMAH FLYING FIELD,ASW,OKEMAH,OK,Public Use
F10,HENRYETTA MUNI,ASW,HENRYETTA,OK,Public Use
VUJ,STANLY COUNTY,ASO,ALBEMARLE,NC,Public Use
FQD,RUTHERFORD CO - MARCHMAN FIELD,ASO,RUTHERFORDTON,NC,Public Use
ELK,ELK CITY RGNL BUSINESS,ASW,ELK CITY,OK,Public Use
BFL,MEADOWS FIELD,AWP,BAKERSFIELD,CA,Federalized/Commercial
AVL,ASHEVILLE RGNL,ASO,ASHEVILLE,NC,Public Use
JSV,SALLISAW MUNI,ASW,SALLISAW,OK,Public Use
1L3,SEARCHLIGHT,AWP,SEARCHLIGHT,NV,Public Use
T59,WHEELER MUNI,ASW,WHEELER,TX,Public Use
GWW,WAYNE EXECUTIVE JETPORT,ASO,GOLDSBORO,NC,Public Use
H35,CLARKSVILLE MUNI,ASW,CLARKSVILLE,AR,Public Use
RQO,EL RENO RGNL,ASW,EL RENO,OK,Public Use
05N,SOUTH OAKS AERODROME,ASO,WINTERVILLE,NC,Public Use
O47,PRAGUE MUNI,ASW,PRAGUE,OK,Public Use
IPJ,LINCOLNTON-LINCOLN COUNTY RGNL,ASO,LINCOLNTON,NC,Public Use
2A0,MARK ANTON,ASO,DAYTON,TN,Public Use
RCE,CLARENCE E PAGE MUNI,ASW,OKLAHOMA CITY,OK,Public Use
N39,MEYERS,ASO,CANDLER,NC,Public Use
LUG,ELLINGTON,ASO,LEWISBURG,TN,Public Use
2O8,HINTON MUNI,ASW,HINTON,OK,Public Use
MIT,SHAFTER-MINTER FIELD,AWP,SHAFTER,CA,Public Use
7M5,OZARK-FRANKLIN COUNTY,ASW,OZARK,AR,Public Use
GUP,GALLUP MUNI,ASW,GALLUP,NM,Public Use
HBZ,HEBER SPRINGS MUNI,ASW,HEBER SPRINGS,AR,Public Use
99F,EL RENO,ASW,EL RENO,OK,Public Use
L37,GRAND CANYON CAVERNS,AWP,PEACH SPRINGS,AZ,Public Use
6M8,MARKED TREE MUNI,ASW,MARKED TREE,AR,Public Use
PWA,WILEY POST,ASW,OKLAHOMA CITY,OK,Public Use
CLK,CLINTON RGNL,ASW,CLINTON,OK,Public Use
JNX,JOHNSTON COUNTY,ASO,SMITHFIELD,NC,Public Use
MNV,MONROE COUNTY,ASO,MADISONVILLE,TN,Public Use
OJA,THOMAS P STAFFORD,ASW,WEATHERFORD,OK,Public Use
0M3,JOHN A BAKER FLD,ASO,HOHENWALD,TN,Public Use
MRC,MAURY COUNTY,ASO,COLUMBIA/MOUNT PLEASANT,TN,Public Use
N08,FLANAGAN FIELD,ASO,FARMVILLE,NC,Public Use
SYI,BOMAR FIELD-SHELBYVILLE MUNI,ASO,SHELBYVILLE,TN,Public Use
7W6,HYDE COUNTY,ASO,ENGELHARD,NC,Public Use
OCW,WARREN FIELD,ASO,WASHINGTON,NC,Public Use
N92,LANEYS,ASO,MAIDEN,NC,Public Use
TTA,RALEIGH EXEC JETPORT AT SANFORD-LEE COUNTY,ASO,SANFORD,NC,Public Use
M04,COVINGTON MUNI,ASO,COVINGTON,TN,Public Use
8M2,SALLY WOFFORD,ASW,WEINER,AR,Public Use
M15,PERRY COUNTY,ASO,LINDEN,TN,Public Use
L73,POSO-KERN COUNTY,AWP,FAMOSO,CA,Public Use
CCA,CLINTON MUNI,ASW,CLINTON,AR,Public Use
MKL,MC KELLAR-SIPES RGNL,ASO,JACKSON,TN,Public Use
HSD,SUNDANCE AIRPARK,ASW,OKLAHOMA CITY,OK,Public Use
93F,MIGNON LAIRD MUNI,ASW,CHEYENNE,OK,Public Use
PPA,PERRY LEFORS FIELD,ASW,PAMPA,TX,Public Use
14A,LAKE NORMAN AIRPARK,ASO,MOORESVILLE,NC,Public Use
SAF,SANTA FE MUNI,ASW,SANTA FE,NM,Federalized/Commercial
L19,WASCO-KERN COUNTY,AWP,WASCO,CA,Public Use
5W5,TRIPLE W,ASO,RALEIGH,NC,Public Use
L84,LOST HILLS-KERN COUNTY,AWP,LOST HILLS,CA,Public Use
PGV,PITT-GREENVILLE,ASO,GREENVILLE,NC,Public Use
M19,NEWPORT MUNI,ASW,NEWPORT,AR,Public Use
RUQ,ROWAN COUNTY,ASO,SALISBURY,NC,Public Use
40G,VALLE,AWP,GRAND CANYON,AZ,Public Use
2A2,HOLLEY MOUNTAIN AIRPARK,ASW,CLINTON,AR,Public Use
RQE,WINDOW ROCK,AWP,WINDOW ROCK,AZ,Public Use
E40,WILSON'S,ASO,HICKORY,NC,Public Use
LVS,LAS VEGAS MUNI,ASW,LAS VEGAS,NM,Public Use
HBI,ASHEBORO RGNL,ASO,ASHEBORO,NC,Public Use
PVE,BEECH RIVER RGNL,ASO,LEXINGTON-PARSONS,TN,Public Use
MKO,DAVIS FIELD,ASW,MUSKOGEE,OK,Public Use
IYK,INYOKERN,AWP,INYOKERN,CA,Public Use
OKM,OKMULGEE RGNL,ASW,OKMULGEE,OK,Public Use
PRB,PASO ROBLES MUNI,AWP,PASO ROBLES,CA,Public Use
47M,THORNTON,ASO,BROWNSVILLE,TN,Public Use
50M,PUCKETT,ASO,EAGLEVILLE,TN,Public Use
7M4,OSCEOLA MUNI,ASW,OSCEOLA,AR,Public Use
RNC,WARREN COUNTY MEMORIAL,ASO,MC MINNVILLE,TN,Public Use
BGD,HUTCHINSON COUNTY,ASW,BORGER,TX,Public Use
5W8,SILER CITY MUNI,ASO,SILER CITY,NC,Public Use
44M,TENKILLER LAKE AIRPARK,ASW,COOKSON,OK,Public Use
,,,,,
,,,,,
9A9,SHIFLET FIELD,ASO,MARION,NC,Public Use
CQB,CHANDLER RGNL,ASW,CHANDLER,OK,Public Use
BVX,BATESVILLE RGNL,ASW,BATESVILLE,AR,Public Use
L05,KERN VALLEY,AWP,KERNVILLE,CA,Public Use
7NC,DONALD'S AIR PARK INC.,ASO,PLYMOUTH,NC,Public Use
1O4,THOMAS MUNI,ASW,THOMAS,OK,Public Use
HKY,HICKORY RGNL,ASO,HICKORY,NC,Public Use
DLO,DELANO MUNI,AWP,DELANO,CA,Public Use
HAX,HATBOX FIELD,ASW,MUSKOGEE,OK,Public Use
SVH,STATESVILLE RGNL,ASO,STATESVILLE,NC,Public Use
0L7,JEAN,AWP,JEAN,NV,Public Use
W03,WILSON INDUSTRIAL AIR CENTER,ASO,WILSON,NC,Public Use
EXX,DAVIDSON COUNTY,ASO,LEXINGTON,NC,Public Use
N01,MOSQUERO EMERGENCY SERVICES,ASW,MOSQUERO,NM,Public Use
SUD,STROUD MUNI,ASW,STROUD,OK,Public Use
P10,POLACCA,AWP,POLACCA,AZ,Public Use
3L2,SKY RANCH,AWP,SANDY VALLEY,NV,Public Use
W17,RALEIGH EAST,ASO,KNIGHTDALE,NC,Public Use
M53,HUMBOLDT MUNI,ASO,HUMBOLDT,TN,Public Use
3F7,JONES MEMORIAL,ASW,BRISTOW,OK,Public Use
PMZ,PLYMOUTH MUNI,ASO,PLYMOUTH,NC,Public Use
TYS,MC GHEE TYSON,ASO,KNOXVILLE,TN,Federalized/Commercial
L72,TRONA,AWP,TRONA,CA,Public Use
MRN,FOOTHILLS REGIONAL,ASO,MORGANTON,NC,Public Use
N97,HIATT,ASO,THOMASVILLE,NC,Public Use
JBR,JONESBORO MUNI,ASW,JONESBORO,AR,Public Use
2K9,HASKELL,ASW,HASKELL,OK,Public Use
GHM,CENTERVILLE MUNI,ASO,CENTERVILLE,TN,Public Use
GOK,GUTHRIE-EDMOND RGNL,ASW,GUTHRIE,OK,Public Use
RWI,ROCKY MOUNT-WILSON RGNL,ASO,ROCKY MOUNT,NC,Public Use
DUX,MOORE COUNTY,ASW,DUMAS,TX,Public Use
GKT,GATLINBURG-PIGEON FORGE,ASO,SEVIERVILLE,TN,Public Use
MCZ,MARTIN COUNTY,ASO,WILLIAMSTON,NC,Public Use
7M2,MOUNTAIN VIEW WILCOX MEMORIAL FIELD,ASW,MOUNTAIN VIEW,AR,Public Use
JWG,WATONGA RGNL,ASW,WATONGA,OK,Public Use
N61,HINSHAW (GREENACRES),ASO,LIBERTY,NC,Public Use
F92,KINGFISHER,ASW,KINGFISHER,OK,Public Use
MBT,MURFREESBORO MUNI,ASO,MURFREESBORO,TN,Public Use
RDU,RALEIGH-DURHAM INTL,ASO,RALEIGH/DURHAM,NC,Federalized/Commercial
LAM,LOS ALAMOS,ASW,LOS ALAMOS,NM,Public Use
MXA,MANILA MUNI,ASW,MANILA,AR,Public Use
HHF,HEMPHILL COUNTY,ASW,CANADIAN,TX,Public Use
4A5,SEARCY COUNTY,ASW,MARSHALL,AR,Public Use
M31,ARNOLD FIELD,ASO,HALLS,TN,Public Use
2A5,CAUSEY,ASO,LIBERTY,NC,Public Use
8A7,TWIN LAKES,ASO,MOCKSVILLE,NC,Public Use
MQI,DARE COUNTY RGNL,ASO,MANTEO,NC,Public Use
RKW,ROCKWOOD MUNI,ASO,ROCKWOOD,TN,Public Use
N88,KECKS,ASO,JULIAN,NC,Public Use
TQH,TAHLEQUAH MUNI,ASW,TAHLEQUAH,OK,Public Use
NC2,TAYLORSVILLE,ASO,TAYLORSVILLE,NC,Public Use
TGC,GIBSON COUNTY,ASO,TRENTON,TN,Public Use
IGX,HORACE WILLIAMS,ASO,CHAPEL HILL,NC,Public Use
ETC,TARBORO-EDGECOMBE,ASO,TARBORO,NC,Public Use
HKA,BLYTHEVILLE MUNI,ASW,BLYTHEVILLE,AR,Public Use
3A4,SOUTHEAST GREENSBORO,ASO,GREENSBORO,NC,Public Use
7A8,AVERY COUNTY/MORRISON FIELD/,ASO,SPRUCE PINE,NC,Public Use
BVU,BOULDER CITY MUNI,AWP,BOULDER CITY,NV,Public Use
CUH,CUSHING MUNI,ASW,CUSHING,OK,Public Use
CSV,CROSSVILLE MEMORIAL-WHITSON FIELD,ASO,CROSSVILLE,TN,Public Use
GCN,GRAND CANYON NATIONAL PARK,AWP,GRAND CANYON,AZ,Public Use
DKX,KNOXVILLE DOWNTOWN ISLAND,ASO,KNOXVILLE,TN,Public Use
BYH,ARKANSAS INTL,ASW,BLYTHEVILLE,AR,Public Use
H68,HEFNER-EASLEY,ASW,WAGONER,OK,Public Use
L61,SHOSHONE,AWP,SHOSHONE,CA,Public Use
HND,HENDERSON EXECUTIVE,AWP,LAS VEGAS,NV,Federalized/Commercial
0A3,SMITHVILLE MUNI,ASO,SMITHVILLE,TN,Public Use
1G4,GRAND CANYON WEST,AWP,PEACH SPRINGS,AZ,Public Use
DYR,DYERSBURG RGNL,ASO,DYERSBURG,TN,Public Use
FYV,DRAKE FIELD,ASW,FAYETTEVILLE,AR,Public Use
MQY,SMYRNA,ASO,SMYRNA,TN,Public Use
0M4,BENTON COUNTY,ASO,CAMDEN,TN,Public Use
FFA,FIRST FLIGHT,ASO,KILL DEVIL HILLS,NC,Public Use
U30,TEMPLE BAR,AWP,TEMPLE BAR,AZ,Public Use
DHT,DALHART MUNI,ASW,DALHART,TX,Public Use
LHZ,TRIANGLE NORTH EXECUTIVE,ASO,LOUISBURG,NC,Public Use
E14,OHKAY OWINGEH,ASW,ESPANOLA,NM,Public Use
EDE,NORTHEASTERN RGNL,ASO,EDENTON,NC,Public Use
X43,SUNRAY,ASW,SUNRAY,TX,Public Use
PTV,PORTERVILLE MUNI,AWP,PORTERVILLE,CA,Public Use
RVS,RICHARD LLOYD JONES JR,ASW,TULSA,OK,Public Use
37M,HORNERSVILLE MEMORIAL,ACE,HORNERSVILLE,MO,Public Use
BUY,BURLINGTON-ALAMANCE RGNL,ASO,BURLINGTON,NC,Public Use
SRB,UPPER CUMBERLAND RGNL,ASO,SPARTA,TN,Public Use
80C,LONE HICKORY,ASO,YADKINVILLE,NC,Public Use
PGR,KIRK FIELD,ASW,PARAGOULD,AR,Public Use
42A,MELBOURNE MUNI - JOHN E MILLER FIELD,ASW,MELBOURNE,AR,Public Use
4W7,HURDLE FIELD,ASO,MEBANE,NC,Public Use
H34,HUNTSVILLE MUNI,ASW,HUNTSVILLE,AR,Public Use
LAS,MC CARRAN INTL,AWP,LAS VEGAS,NV,Federalized/Commercial
HZD,CARROLL COUNTY,ASO,HUNTINGDON,TN,Public Use
T03,TUBA CITY,AWP,TUBA CITY,AZ,Public Use
L25,PEARCE FERRY,AWP,MEADVIEW,AZ,Public Use
M12,STEELE MUNI,ACE,STEELE,MO,Public Use
GSO,PIEDMONT TRIAD INTL,ASO,GREENSBORO,NC,Federalized/Commercial
CRO,CORCORAN,AWP,CORCORAN,CA,Public Use
1X1,HIGGINS-LIPSCOMB COUNTY,ASW,HIGGINS,TX,Public Use
E91,CHINLE MUNI,AWP,CHINLE,AZ,Public Use
O65,CHRISTMAN AIRFIELD,ASW,OKEENE,OK,Public Use
0M5,HUMPHREYS COUNTY,ASO,WAVERLY,TN,Public Use
BNA,NASHVILLE INTL,ASO,NASHVILLE,TN,Federalized/Commercial
ARG,WALNUT RIDGE RGNL,ASW,WALNUT RIDGE,AR,Public Use
M02,DICKSON MUNI,ASO,DICKSON,TN,Public Use
INT,SMITH REYNOLDS,ASO,WINSTON SALEM,NC,Public Use
1H6,HARVEY YOUNG,ASW,TULSA,OK,Public Use
5O1,VICI MUNI,ASW,VICI,OK,Public Use
O18,BUZZARDS ROOST,ASW,INOLA,OK,Public Use
1S4,SEILING,ASW,SEILING,OK,Public Use
TLR,MEFFORD FIELD,AWP,TULARE,CA,Public Use
0K6,DOBIE'S,ASW,INOLA,OK,Public Use
SWO,STILLWATER RGNL,ASW,STILLWATER,OK,Public Use
C80,NEW COALINGA MUNI,AWP,COALINGA,CA,Public Use
1Q1,ECKERT FIELD,AWP,STRATHMORE,CA,Public Use
37T,CALICO ROCK-IZARD COUNTY,ASW,CALICO ROCK,AR,Public Use
M05,CARUTHERSVILLE MEMORIAL,ACE,CARUTHERSVILLE,MO,Public Use
W88,AIR HARBOR,ASO,GREENSBORO,NC,Public Use
OWP,WILLIAM R. POGUE MUNI,ASW,SAND SPRINGS,OK,Public Use
ASG,SPRINGDALE MUNI,ASW,SPRINGDALE,AR,Public Use
MOR,MOORE-MURRELL,ASO,MORRISTOWN,TN,Public Use
JWN,JOHN C TUNE,ASO,NASHVILLE,TN,Public Use
M54,LEBANON MUNI,ASO,LEBANON,TN,Public Use
SLG,SMITH FIELD,ASW,SILOAM SPRINGS,AR,Public Use
GCY,GREENEVILLE-GREENE COUNTY MUNI,ASO,GREENEVILLE,TN,Public Use
N83,DS BUTLER FARM AND AIRFIELD,ASO,OAK RIDGE,NC,Public Use
TUL,TULSA INTL,ASW,TULSA,OK,Federalized/Commercial
78A,SWAN CREEK,ASO,JONESVILLE,NC,Public Use
O34,MOLLY'S LANDING,ASW,CATOOSA,OK,Public Use
VGT,NORTH LAS VEGAS,AWP,LAS VEGAS,NV,Public Use
K11,SAM RIGGS AIRPARK,ASW,CLAREMORE,OK,Public Use
E42,MAJOR SAMUEL B CORNELIUS FIELD,ASW,SPEARMAN,TX,Public Use
6M2,HORSESHOE BEND,ASW,HORSESHOE BEND,AR,Public Use
4F1,WESTPORT,ASW,WESTPORT,OK,Public Use
UKF,WILKES COUNTY,ASO,NORTH WILKESBORO,NC,Public Use
M28,MID CONTINENT,ACE,HAYTI,MO,Public Use
H71,MID-AMERICA INDUSTRIAL,ASW,PRYOR,OK,Public Use
TKX,KENNETT MEMORIAL,ACE,KENNETT,MO,Public Use
KIC,MESA DEL REY,AWP,KING CITY,CA,Public Use
O64,PORT OF CATOOSA,ASW,CATOOSA,OK,Public Use
E19,GRUVER MUNI,ASW,GRUVER,TX,Public Use
O63,EXETER,AWP,EXETER,CA,Public Use
M70,POCAHONTAS MUNI,ASW,POCAHONTAS,AR,Public Use
3O8,HARRIS RANCH,AWP,COALINGA,CA,Public Use
7M8,RECTOR,ASW,RECTOR,AR,Public Use
1Z1,GRAND CANYON BAR TEN AIRSTRIP,AWP,WHITMORE,AZ,Public Use
ECG,ELIZABETH CITY CG AIR STATION/RGNL,ASO,ELIZABETH CITY,NC,Public Use
HRO,BOONE COUNTY,ASW,HARRISON,AR,Public Use
CVK,SHARP COUNTY RGNL,ASW,ASH FLAT,AR,Public Use
O38,GUNDYS,ASW,OWASSO,OK,Public Use
ZEF,ELKIN MUNI,ASO,ELKIN,NC,Public Use
XNA,NORTHWEST ARKANSAS RGNL,ASW,FAYETTEVILLE/SPRINGDALE/,AR,Public Use
4W4,WHITFIELD FARMS,ASO,HURDLE MILLS,NC,Public Use
95F,CLEVELAND MUNI,ASW,CLEVELAND,OK,Public Use
TDF,PERSON COUNTY,ASO,ROXBORO,NC,Public Use
6K4,FAIRVIEW MUNI,ASW,FAIRVIEW,OK,Public Use
FLP,MARION COUNTY RGNL,ASW,FLIPPIN,AR,Public Use
E32,LINDRITH AIRPARK,ASW,LINDRITH,NM,Public Use
GCM,CLAREMORE RGNL,ASW,CLAREMORE,OK,Public Use
GAG,GAGE,ASW,GAGE,OK,Public Use
ASJ,TRI-COUNTY,ASO,AHOSKIE,NC,Public Use
N63,MEADOW BROOK FIELD,ASO,WALNUT COVE,NC,Public Use
0L9,ECHO BAY,AWP,OVERTON,NV,Public Use
M93,HOUSTON COUNTY,ASO,MC KINNON,TN,Public Use
HJO,HANFORD MUNI,AWP,HANFORD,CA,Public Use
VIS,VISALIA MUNI,AWP,VISALIA,CA,Federalized/Commercial
6A5,WARF,ASO,REIDSVILLE,NC,Public Use
IXA,HALIFAX-NORTHAMPTON RGNL,ASO,ROANOKE RAPIDS,NC,Public Use
S42,SPRINGER MUNI,ASW,SPRINGER,NM,Public Use
JAU,CAMPBELL COUNTY,ASO,JACKSBORO,TN,Public Use
PHT,HENRY COUNTY,ASO,PARIS,TN,Public Use
5M5,CRYSTAL LAKE,ASW,DECATUR,AR,Public Use
VBT,BENTONVILLE MUNI/LOUISE M THADEN FIELD,ASW,BENTONVILLE,AR,Public Use
H70,STRATFORD FIELD,ASW,STRATFORD,TX,Public Use
3M0,GASTONS,ASW,LAKEVIEW,AR,Public Use
2A1,JAMESTOWN MUNI,ASO,JAMESTOWN,TN,Public Use
2F6,SKIATOOK MUNI,ASW,SKIATOOK,OK,Public Use
7M9,SALEM,ASW,SALEM,AR,Public Use
HNZ,HENDERSON-OXFORD,ASO,OXFORD,NC,Public Use
0A4,JOHNSON CITY,ASO,JOHNSON CITY,TN,Public Use
BPK,BAXTER COUNTY,ASW,MOUNTAIN HOME,AR,Public Use
0A9,ELIZABETHTON MUNI,ASO,ELIZABETHTON,TN,Public Use
4O7,DECKER FIELD,ASW,MENO,OK,Public Use
ROG,ROGERS MUNI-CARTER FIELD,ASW,ROGERS,AR,Public Use
M33,SUMNER COUNTY RGNL,ASO,GALLATIN,TN,Public Use
7M7,PIGGOTT MUNI,ASW,PIGGOTT,AR,Public Use
WDG,ENID WOODRING RGNL,ASW,ENID,OK,Public Use
UCY,EVERETT-STEWART RGNL,ASO,UNION CITY,TN,Public Use
4M1,CARROLL COUNTY,ASW,BERRYVILLE,AR,Public Use
H97,PAWNEE MUNI,ASW,PAWNEE,OK,Public Use
F22,PERRY MUNI,ASW,PERRY,OK,Public Use
1A7,JACKSON COUNTY,ASO,GAINESBORO,TN,Public Use
O42,WOODLAKE,AWP,WOODLAKE,CA,Public Use
6W4,CASWELL,ASO,YANCEYVILLE,NC,Public Use
ONX,CURRITUCK COUNTY RGNL,ASO,CURRITUCK,NC,Public Use
4M9,CORNING MUNI,ASW,CORNING,AR,Public Use
3A2,NEW TAZEWELL MUNI,ASO,TAZEWELL,TN,Public Use
PYX,PERRYTON OCHILTREE COUNTY,ASW,PERRYTON,TX,Public Use
8A3,LIVINGSTON MUNI,ASO,LIVINGSTON,TN,Public Use
6A4,JOHNSON COUNTY,ASO,MOUNTAIN CITY,TN,Public Use
AXX,ANGEL FIRE,ASW,ANGEL FIRE,NM,Public Use
GEV,ASHE COUNTY,ASO,JEFFERSON,NC,Public Use
SIF,ROCKINGHAM COUNTY NC SHILOH,ASO,REIDSVILLE,NC,Public Use
WWR,WEST WOODWARD,ASW,WOODWARD,OK,Public Use
RZZ,HALIFAX COUNTY,ASO,ROANOKE RAPIDS,NC,Public Use
T93,FOLLETT/LIPSCOMB COUNTY,ASW,FOLLETT,TX,Public Use
H92,HOMINY MUNI,ASW,HOMINY,OK,Public Use
M85,GIDEON MEMORIAL,ACE,GIDEON,MO,Public Use
CAO,CLAYTON MUNI ARPK,ASW,CLAYTON,NM,Public Use
D86,SEQUOIA FIELD,AWP,VISALIA,CA,Public Use
SCX,SCOTT MUNI,ASO,ONEIDA,TN,Public Use
RVN,HAWKINS COUNTY,ASO,ROGERSVILLE,TN,Public Use
SKX,TAOS RGNL,ASW,TAOS,NM,Public Use
MWK,MOUNT AIRY/SURRY COUNTY,ASO,MOUNT AIRY,NC,Public Use
L06,FURNACE CREEK,AWP,DEATH VALLEY NATIONAL PARK,CA,Public Use
TRI,TRI-CITIES RGNL TN/VA,ASO,BRISTOL/JOHNSON/KINGSPORT,TN,Federalized/Commercial
0M2,REELFOOT LAKE,ASO,TIPTONVILLE,TN,Public Use
MDF,MOORELAND MUNI,ASW,MOORELAND,OK,Public Use
34M,CAMPBELL MUNI,ACE,CAMPBELL,MO,Public Use
8N0,ROCKINGHAM COUNTY,ASO,EDEN,NC,Public Use
K49,MUNICIPAL,ASW,TEXHOMA,OK,Public Use
C12,CIMARRON,ASW,CIMARRON,NM,Public Use
3M7,LAFAYETTE MUNI,ASO,LAFAYETTE,TN,Public Use
42M,THAYER MEMORIAL,ACE,THAYER,MO,Public Use
1M7,FULTON,ASO,FULTON,KY,Public Use
BBG,BRANSON,ACE,BRANSON,MO,Public Use
EIW,COUNTY MEMORIAL,ACE,NEW MADRID,MO,Public Use
M91,SPRINGFIELD ROBERTSON COUNTY,ASO,SPRINGFIELD,TN,Public Use
1K8,SOUTH GRAND LAKE RGNL,ASW,KETCHUM,OK,Public Use
U08,PERKINS FIELD,AWP,OVERTON,NV,Public Use
1K5,WAYNOKA MUNI,ASW,WAYNOKA,OK,Public Use
DAN,DANVILLE RGNL,AEA,DANVILLE,VA,Public Use
3O9,GRAND LAKE RGNL,ASW,AFTON,OK,Public Use
0Q4,SELMA,AWP,SELMA,CA,Public Use
4O6,CHEROKEE,ASW,AFTON,OK,Public Use
MRY,MONTEREY PENINSULA,AWP,MONTEREY,CA,Federalized/Commercial
O26,LONE PINE,AWP,LONE PINE,CA,Public Use
1M5,PORTLAND MUNI,ASO,PORTLAND,TN,Public Use
W63,LAKE COUNTRY REGIONAL,AEA,CLARKSVILLE,VA,Public Use
MAW,MALDEN RGNL,ACE,MALDEN,MO,Public Use
L09,STOVEPIPE WELLS,AWP,DEATH VALLEY NATIONAL PARK,CA,Public Use
GMJ,GROVE MUNI,ASW,GROVE,OK,Public Use
1A6,MIDDLESBORO-BELL COUNTY,ASO,MIDDLESBORO,KY,Public Use
H27,GAINESVILLE MEMORIAL,ACE,GAINESVILLE,MO,Public Use
H04,VINITA MUNI,ASW,VINITA,OK,Public Use
CKV,OUTLAW FIELD,ASO,CLARKSVILLE,TN,Public Use
PLK,M. GRAHAM CLARK DOWNTOWN,ACE,BRANSON,MO,Public Use
MTV,BLUE RIDGE,AEA,MARTINSVILLE,VA,Public Use
0VG,LEE COUNTY,AEA,JONESVILLE,VA,Public Use
2K1,POND CREEK MUNI,ASW,POND CREEK,OK,Public Use
SNS,SALINAS MUNI,AWP,SALINAS,CA,Public Use
CEY,KYLE-OAKLEY FIELD,ASO,MURRAY,KY,Public Use
CPK,CHESAPEAKE RGNL,AEA,NORFOLK,VA,Public Use
O32,REEDLEY MUNI,AWP,REEDLEY,CA,Public Use
H76,PAWHUSKA MUNI,ASW,PAWHUSKA,OK,Public Use
OAR,MARINA MUNI,AWP,MARINA,CA,Public Use
SFQ,SUFFOLK EXECUTIVE,AEA,SUFFOLK,VA,Public Use
GUY,GUYMON MUNI,ASW,GUYMON,OK,Public Use
EMV,EMPORIA-GREENSVILLE RGNL,AEA,EMPORIA,VA,Public Use
VJI,VIRGINIA HIGHLANDS,AEA,ABINGDON,VA,Public Use
AVC,MECKLENBURG-BRUNSWICK RGNL,AEA,SOUTH HILL,VA,Public Use
O66,HOMESTEAD FARMS,ASW,POND CREEK,OK,Public Use
X33,DONIPHAN MUNI,ACE,DONIPHAN,MO,Public Use
18I,MC CREARY COUNTY,ASO,PINE KNOT,KY,Public Use
5V5,SHIPROCK AIRSTRIP,ASW,SHIPROCK,NM,Public Use
94K,CASSVILLE MUNI,ACE,CASSVILLE,MO,Public Use
FWB,BRANSON WEST MUNI - EMERSON FIELD,ACE,BRANSON WEST,MO,Public Use
FKN,FRANKLIN MUNI-JOHN BEVERLY ROSE,AEA,FRANKLIN,VA,Public Use
W78,WILLIAM M TUCK,AEA,SOUTH BOSTON,VA,Public Use
N02,RED RIVER,ASW,RED RIVER,NM,Public Use
0V7,KAYENTA,AWP,KAYENTA,AZ,Public Use
H66,NOWATA MUNI,ASW,NOWATA,OK,Public Use
TZV,TOMPKINSVILLE-MONROE COUNTY,ASO,TOMPKINSVILLE,KY,Public Use
PNC,PONCA CITY RGNL,ASW,PONCA CITY,OK,Public Use
FCH,FRESNO CHANDLER EXECUTIVE,AWP,FRESNO,CA,Public Use
FMN,FOUR CORNERS RGNL,ASW,FARMINGTON,NM,Public Use
RTN,RATON MUNI/CREWS FIELD,ASW,RATON,NM,Public Use
O51,LAVERNE MUNI,ASW,LAVERNE,OK,Public Use
BKN,BLACKWELL-TONKAWA MUNI,ASW,BLACKWELL,OK,Public Use
K77,FREEDOM MUNI,ASW,FREEDOM,OK,Public Use
M90,WILLIAM ROBERT JOHNSTON MUNI,AWP,MENDOTA,CA,Public Use
