Airport,AP_NAME,FAA REGION,CITY,STATE,AP Type
X52,NEW HIBISCUS AIRPARK,ASO,VERO BEACH,FL,Public Use
48X,AIRPORT MANATEE,ASO,PALMETTO,FL,Public Use
VRB,VERO BEACH MUNI,ASO,VERO BEACH,FL,Public Use
ALI,ALICE INTL,ASW,ALICE,TX,Public Use
SPG,ALBERT WHITTED,ASO,ST PETERSBURG,FL,Public Use
CRP,CORPUS CHRISTI INTL,ASW,CORPUS CHRISTI,TX,Federalized/Commercial
RBO,NUECES COUNTY,ASW,ROBSTOWN,TX,Public Use
2RR,RIVER RANCH RESORT,ASO,RIVER RANCH,FL,Public Use
67T,OLD HOPPE PLACE,ASW,AGUA DULCE,TX,Public Use
RAS,MUSTANG BEACH,ASW,PORT ARANSAS,TX,Public Use
X26,SEBASTIAN MUNI,ASO,SEBASTIAN,FL,Public Use
T19,DUVAL-FREER,ASW,FREER,TX,Public Use
9R5,HUNT,ASW,PORTLAND,TX,Public Use
X07,LAKE WALES MUNI,ASO,LAKE WALES,FL,Public Use
PIE,ST PETERSBURG-CLEARWATER INTL,ASO,ST PETERSBURG-CLEARWATER,FL,Federalized/Commercial
TFP,T P MC CAMPBELL,ASW,INGLESIDE,TX,Public Use
TPF,PETER O KNIGHT,ASO,TAMPA,FL,Public Use
X49,SOUTH LAKELAND,ASO,LAKELAND,FL,Public Use
BOW,BARTOW MUNI,ASO,BARTOW,FL,Public Use
X25,CHALET SUZANNE AIR STRIP,ASO,LAKE WALES,FL,Public Use
X59,VALKARIA,ASO,VALKARIA,FL,Public Use
TPA,TAMPA INTL,ASO,TAMPA,FL,Federalized/Commercial
CLW,CLEARWATER AIR PARK,ASO,CLEARWATER,FL,Public Use
LAL,LAKELAND LINDER RGNL,ASO,LAKELAND,FL,Public Use
PCM,PLANT CITY,ASO,PLANT CITY,FL,Public Use
VDF,TAMPA EXECUTIVE,ASO,TAMPA,FL,Public Use
T69,ALFRED C 'BUBBA' THOMAS,ASW,SINTON,TX,Public Use
F57,JACK BROWNS,ASO,WINTER HAVEN,FL,Public Use
GIF,WINTER HAVEN'S GILBERT,ASO,WINTER HAVEN,FL,Public Use
RKP,ARANSAS CO,ASW,ROCKPORT,TX,Public Use
MLB,MELBOURNE INTL,ASO,MELBOURNE,FL,Public Use
MDY,HENDERSON FIELD,AWP,SAND ISLAND,MQ,Public Use
X39,TAMPA NORTH AERO PARK,ASO,TAMPA,FL,Public Use
ZPH,ZEPHYRHILLS MUNI,ASO,ZEPHYRHILLS,FL,Public Use
ISM,KISSIMMEE GATEWAY,ASO,ORLANDO,FL,Public Use
RFG,ROOKE FIELD,ASW,REFUGIO,TX,Public Use
X05,PILOT COUNTRY,ASO,BROOKSVILLE,FL,Public Use
COI,MERRITT ISLAND,ASO,MERRITT ISLAND,FL,Public Use
8T6,LIVE OAK COUNTY,ASW,GEORGE WEST,TX,Public Use
BEA,BEEVILLE MUNI,ASW,BEEVILLE,TX,Public Use
MCO,ORLANDO INTL,ASO,ORLANDO,FL,Federalized/Commercial
COT,COTULLA-LA SALLE COUNTY,ASW,COTULLA,TX,Public Use
BKV,HERNANDO COUNTY,ASO,BROOKSVILLE,FL,Public Use
TIX,SPACE COAST RGNL,ASO,TITUSVILLE,FL,Public Use
CZT,DIMMIT COUNTY,ASW,CARRIZO SPRINGS,TX,Public Use
ORL,EXECUTIVE,ASO,ORLANDO,FL,Public Use
7T3,GOLIAD COUNTY INDUSTRIAL AIRPARK,ASW,BERCLAIR,TX,Public Use
X21,ARTHUR DUNN AIR PARK,ASO,TITUSVILLE,FL,Public Use
PKV,CALHOUN COUNTY,ASW,PORT LAVACA,TX,Public Use
24R,DILLEY AIRPARK,ASW,DILLEY,TX,Public Use
20R,CRYSTAL CITY MUNI,ASW,CRYSTAL CITY,TX,Public Use
X04,ORLANDO APOPKA,ASO,APOPKA,FL,Public Use
PSX,PALACIOS MUNI,ASW,PALACIOS,TX,Public Use
X61,BOB WHITE FIELD,ASO,ZELLWOOD,FL,Public Use
SFB,ORLANDO SANFORD INTL,ASO,ORLANDO,FL,Federalized/Commercial
FA1,TAVARES,ASO,TAVARES,FL,Public Use
INF,INVERNESS,ASO,INVERNESS,FL,Public Use
T30,MC KINLEY FIELD,ASW,PEARSALL,TX,Public Use
LEE,LEESBURG INTL,ASO,LEESBURG,FL,Public Use
2R9,KARNES COUNTY,ASW,KENEDY,TX,Public Use
X55,MID FLORIDA AIR SERVICE,ASO,EUSTIS,FL,Public Use
VCT,VICTORIA RGNL,ASW,VICTORIA,TX,Public Use
5T9,MAVERICK COUNTY MEMORIAL INTL,ASW,EAGLE PASS,TX,Public Use
CGC,CRYSTAL RIVER,ASO,CRYSTAL RIVER,FL,Public Use
X23,UMATILLA MUNI,ASO,UMATILLA,FL,Public Use
T84,FEHMEL DUSTING SERVICE,ASW,BAY CITY,TX,Public Use
PEZ,PLEASANTON MUNI,ASW,PLEASANTON,TX,Public Use
BYY,BAY CITY MUNI,ASW,BAY CITY,TX,Public Use
X50,MASSEY RANCH AIRPARK,ASO,NEW SMYRNA BEACH,FL,Public Use
26R,JACKSON COUNTY,ASW,EDNA,TX,Public Use
EVB,NEW SMYRNA BEACH MUNI,ASO,NEW SMYRNA BEACH,FL,Public Use
X35,MARION COUNTY,ASO,DUNNELLON,FL,Public Use
DED,DELAND MUNI-SIDNEY H TAYLOR FIELD,ASO,DELAND,FL,Public Use
T71,CUERO MUNI,ASW,CUERO,TX,Public Use
1J6,BOB LEE FLIGHT STRIP,ASO,DELAND,FL,Public Use
T26,FLYING V RANCH,ASW,LOUISE,TX,Public Use
LBX,TEXAS GULF COAST RGNL,ASW,ANGLETON/LAKE JACKSON,TX,Public Use
CDK,GEORGE T LEWIS,ASO,CEDAR KEY,FL,Public Use
23R,DEVINE MUNI,ASW,DEVINE,TX,Public Use
7R9,BAILES,ASW,ANGLETON,TX,Public Use
OCF,OCALA INTL-JIM TAYLOR FIELD,ASO,OCALA,FL,Public Use
DAB,DAYTONA BEACH INTL,ASO,DAYTONA BEACH,FL,Federalized/Commercial
UVA,GARNER FIELD,ASW,UVALDE,TX,Public Use
53T,CANNON FIELD,ASW,SOMERSET,TX,Public Use
2J8,PIERSON MUNI,ASO,PIERSON,FL,Public Use
ARM,WHARTON RGNL,ASW,WHARTON,TX,Public Use
94R,LACKEY AVIATION,ASW,WHARTON,TX,Public Use
81D,FLYIN TIGER,ASW,ANGLETON,TX,Public Use
GLS,SCHOLES INTL AT GALVESTON,ASW,GALVESTON,TX,Public Use
74R,HORIZON,ASW,SAN ANTONIO,TX,Public Use
OMN,ORMOND BEACH MUNI,ASO,ORMOND BEACH,FL,Public Use
T85,YOAKUM MUNI,ASW,YOAKUM,TX,Public Use
SSF,STINSON MUNI,ASW,SAN ANTONIO,TX,Public Use
CVB,CASTROVILLE MUNI,ASW,CASTROVILLE,TX,Public Use
X60,WILLISTON MUNI,ASO,WILLISTON,FL,Public Use
HDO,SOUTH TEXAS RGNL AT HONDO,ASW,HONDO,TX,Public Use
DRT,DEL RIO INTL,ASW,DEL RIO,TX,Public Use
34R,HALLETTSVILLE MUNI,ASW,HALLETTSVILLE,TX,Public Use
6R5,ALVIN AIRPARK,ASW,ALVIN,TX,Public Use
GAO,SOUTH LAFOURCHE LEONARD MILLER JR,ASW,GALLIANO,LA,Public Use
,,,,,
XFL,FLAGLER COUNTY,ASO,PALM COAST,FL,Public Use
3T2,WOLFE AIR PARK,ASW,MANVEL,TX,Public Use
T34,TALON AIR,ASW,DICKINSON,TX,Public Use
T95,BAY ELECTRIC SUPPLY,ASW,LEAGUE CITY,TX,Public Use
2H5,HOUSTON FORT BEND,ASW,HOUSTON,TX,Public Use
5T0,WARD AIRPARK,ASW,BEASLEY,TX,Public Use
AXH,HOUSTON-SOUTHWEST,ASW,HOUSTON,TX,Public Use
8T8,SAN GERONIMO AIRPARK,ASW,SAN ANTONIO,TX,Public Use
LVJ,PEARLAND RGNL,ASW,HOUSTON,TX,Public Use
T54,LANE AIRPARK,ASW,ROSENBERG,TX,Public Use
T20,ROGER M. DREYER MEMORIAL,ASW,GONZALES,TX,Public Use
SAT,SAN ANTONIO INTL,ASW,SAN ANTONIO,TX,Federalized/Commercial
39R,FLYIN' B,ASW,HOUSTON,TX,Public Use
T79,SKYWAY MANOR,ASW,PEARLAND,TX,Public Use
HUM,HOUMA-TERREBONNE,ASW,HOUMA,LA,Public Use
T94,TWIN-OAKS,ASW,SAN ANTONIO,TX,Public Use
ELA,EAGLE LAKE,ASW,EAGLE LAKE,TX,Public Use
E70,HUBER AIRPARK CIVIC CLUB LLC,ASW,SEGUIN,TX,Public Use
EFD,ELLINGTON FIELD,ASW,HOUSTON,TX,Public Use
0J8,FLYING TEN,ASO,ARCHER,FL,Public Use
SGR,SUGAR LAND RGNL,ASW,HOUSTON,TX,Public Use
T77,PRESIDIO LELY INTL,ASW,PRESIDIO,TX,Public Use
CTY,CROSS CITY,ASO,CROSS CITY,FL,Public Use
66R,ROBERT R WELLS JR,ASW,COLUMBUS,TX,Public Use
F47,ST GEORGE ISLAND,ASO,APALACHICOLA,FL,Public Use
HOU,WILLIAM P HOBBY,ASW,HOUSTON,TX,Federalized/Commercial
28J,PALATKA MUNI - LT. KAY LARKIN FIELD,ASO,PALATKA,FL,Public Use
T41,LA PORTE MUNI,ASW,LA PORTE,TX,Public Use
GNV,GAINESVILLE RGNL,ASO,GAINESVILLE,FL,Federalized/Commercial
X09,COVEY TRAILS,ASW,FULSHEAR,TX,Public Use
O07,WESTHEIMER AIR PARK,ASW,HOUSTON,TX,Public Use
BAZ,NEW BRAUNFELS RGNL,ASW,NEW BRAUNFELS,TX,Public Use
PTN,HARRY P WILLIAMS MEMORIAL,ASW,PATTERSON,LA,Public Use
6J8,OAK TREE LANDING,ASO,HIGH SPRINGS,FL,Public Use
5C1,BOERNE STAGE FIELD,ASW,SAN ANTONIO,TX,Public Use
AAF,APALACHICOLA REGIONAL,ASO,APALACHICOLA,FL,Public Use
T91,THE CARTER MEMORIAL,ASW,LULING,TX,Public Use
1T8,BULVERDE AIRPARK,ASW,SAN ANTONIO,TX,Public Use
49R,REAL COUNTY,ASW,LEAKEY,TX,Public Use
L83,THIBODAUX MUNI,ASW,THIBODAUX,LA,Public Use
A51,COSTIN,ASO,PORT ST JOE,FL,Public Use
54T,RWJ AIRPARK,ASW,BAYTOWN,TX,Public Use
T00,CHAMBERS COUNTY,ASW,ANAHUAC,TX,Public Use
HPY,BAYTOWN,ASW,BAYTOWN,TX,Public Use
TME,HOUSTON EXECUTIVE,ASW,HOUSTON,TX,Public Use
1T7,KESTREL AIRPARK,ASW,SAN ANTONIO,TX,Public Use
IWS,WEST HOUSTON,ASW,HOUSTON,TX,Public Use
T90,CHAMBERS COUNTY-WINNIE STOWELL,ASW,WINNIE/STOWELL,TX,Public Use
X13,CARRABELLE-THOMPSON,ASO,CARRABELLE,FL,Public Use
42J,KEYSTONE AIRPARK,ASO,KEYSTONE HEIGHTS,FL,Public Use
50R,LOCKHART MUNI,ASW,LOCKHART,TX,Public Use
HYI,SAN MARCOS MUNI,ASW,SAN MARCOS,TX,Public Use
2R1,LE MAIRE MEMORIAL,ASW,JEANERETTE,LA,Public Use
3T5,FAYETTE RGNL AIR CENTER,ASW,LA GRANGE,TX,Public Use
9X9,SACK-O-GRANDE ACROPORT,ASW,KATY,TX,Public Use
EYQ,WEISER AIR PARK,ASW,HOUSTON,TX,Public Use
06R,GRAWUNDER FIELD,ASW,BELLVILLE,TX,Public Use
ECU,EDWARDS COUNTY,ASW,ROCKSPRINGS,TX,Public Use
BPT,JACK BROOKS RGNL,ASW,BEAUMONT/PORT ARTHUR,TX,Public Use
7N0,NEW ORLEANS DOWNTOWN,ASW,NEW ORLEANS,LA,Public Use
SGJ,NORTHEAST FLORIDA RGNL,ASO,ST AUGUSTINE,FL,Public Use
IYA,ABBEVILLE CHRIS CRUSTA MEMORIAL,ASW,ABBEVILLE,LA,Public Use
ERV,KERRVILLE MUNI/LOUIS SCHREINER FIELD,ASW,KERRVILLE,TX,Public Use
IAH,GEORGE BUSH INTERCONTINENTAL/HOUSTON,ASW,HOUSTON,TX,Federalized/Commercial
2J0,WAKULLA COUNTY,ASO,PANACEA,FL,Public Use
MSY,LOUIS ARMSTRONG NEW ORLEANS INTL,ASW,NEW ORLEANS,LA,Public Use
84R,SMITHVILLE CRAWFORD MUNI,ASW,SMITHVILLE,TX,Public Use
ARA,ACADIANA RGNL,ASW,NEW IBERIA,LA,Public Use
NEW,LAKEFRONT,ASW,NEW ORLEANS,LA,Public Use
T51,DAN JONES INTL,ASW,HOUSTON,TX,Public Use
6R6,TERRELL COUNTY,ASW,DRYDEN,TX,Public Use
DWH,DAVID WAYNE HOOKS MEMORIAL,ASW,HOUSTON,TX,Public Use
ORG,ORANGE COUNTY,ASW,ORANGE,TX,Public Use
40J,PERRY-FOLEY,ASO,PERRY,FL,Public Use
BMT,BEAUMONT MUNI,ASW,BEAUMONT,TX,Public Use
T78,LIBERTY MUNI,ASW,LIBERTY,TX,Public Use
1L0,ST JOHN THE BAPTIST PARISH,ASW,RESERVE,LA,Public Use
LCH,LAKE CHARLES RGNL,ASW,LAKE CHARLES,LA,Federalized/Commercial
UXL,SOUTHLAND FIELD,ASW,SULPHUR,LA,Public Use
9X1,NORTH HOUSTON BUSINESS,ASW,HOUSTON,TX,Public Use
3R2,LE GROS MEMORIAL,ASW,CROWLEY,LA,Public Use
GYB,GIDDINGS-LEE COUNTY,ASW,GIDDINGS,TX,Public Use
L38,LOUISIANA RGNL,ASW,GONZALES,LA,Public Use
LCQ,LAKE CITY GATEWAY,ASO,LAKE CITY,FL,Public Use
AUS,AUSTIN-BERGSTROM INTL,ASW,AUSTIN,TX,Federalized/Commercial
LFT,LAFAYETTE RGNL,ASW,LAFAYETTE,LA,Federalized/Commercial
CWF,CHENNAULT INTL,ASW,LAKE CHARLES,LA,Public Use
VQQ,CECIL,ASO,JACKSONVILLE,FL,Public Use
11R,BRENHAM MUNI,ASW,BRENHAM,TX,Public Use
6R1,WELSH,ASW,WELSH,LA,Public Use
3R7,JENNINGS,ASW,JENNINGS,LA,Public Use
T82,GILLESPIE COUNTY,ASW,FREDERICKSBURG,TX,Public Use
